,Player,Team,GS,MP,FGA,2PA,3PA,FTA,DRB,TOV,EPTS
560,Jonathan Aku,Grambling,1.5043606656385509,0.5820582068980379,-0.3875253362893255,0.09237474708597616,-0.9255860342226305,0.08183635194146541,0.8412310473049202,0.5312146082986952,6.193146643373367
561,Jimel Cofer,Grambling,-0.7145183257084577,-0.5482043574888255,-0.591576119407613,-0.4574668040785152,-0.5594753015328534,-0.2439424030974618,-0.7321144764775255,-0.20008979074739028,2.581509064427563
562,Zahad Munford,Grambling,-0.7145183257084577,-0.6028944815720607,-0.6170824672973989,-0.6040912177223795,-0.4025707018086632,-0.6348769091441744,-0.7321144764775255,-0.20008979074739028,2.33867664497038
563,Quintin Murrell,Grambling,-0.7145183257084577,-0.7031597090579921,-0.8466395983054723,-0.7507156313662439,-0.6640783680156469,-0.37425390511303264,-0.8579821183801211,-0.4926115503658244,2.102089116150037
564,William Reynolds,Grambling,-0.8531982626676459,-1.1042206190017179,-0.8466395983054723,-0.9339961484210744,-0.4025707018086632,-1.025811415190887,-1.1097174021853125,-1.2239159494119098,1.504168339214992
565,Malik Lamin,Grambling,-0.8531982626676459,-0.8398850192660804,-1.0506903814237598,-0.8606839415991421,-0.9255860342226305,-0.8303441621675307,-0.8579821183801211,-0.7851333099842585,1.6206735717618248
566,Elvis Nnaji,Grambling,-0.8531982626676459,-0.9219202053909334,-1.1272094250931175,-1.0806205620649387,-0.7686814344984403,-0.569721158136389,-0.4174453717210363,-0.7851333099842585,1.7331864966983115
567,Kevin McCullar,Kansas,0.9496409178017988,1.648515626521127,2.2396284963586246,2.2184287449220093,1.4279829616402224,2.688066392252883,2.0369736453795793,2.4326060458185172,18.66688538015085
568,Hunter Dickinson,Kansas,1.435020697158957,1.4662152129103425,2.3161475400279827,3.2447996404290596,0.12044463060530411,1.1243283680660323,4.05085591582111,1.4087798871539978,17.20863373802203
569,KJ Adams,Kansas,1.3656807286793629,1.584710481757352,1.0153237976489002,2.0718043312781447,-0.8732845009812338,1.2546398700816033,0.7153634054023247,1.4087798871539978,11.38658875981858
570,Johnny Furphy,Kansas,0.4642611384446407,0.7278985377866655,0.3776651004042523,-0.1642179767907865,1.0618722289504452,0.6030823600037489,1.030032510158814,-0.053828910938173054,7.745832248690792
571,Dajuan Harris,Kansas,1.5043606656385509,1.7852409367292152,0.7092476229714693,0.8988090221272301,0.17274616384670088,0.016680600933680057,-0.22864390886714278,2.2863451660093,10.622186024951636
572,Nicolas Timberlake,Kansas,-0.2984785148308936,-0.06510826142024671,-0.08144916161189437,-0.5307790109004473,0.5911584297778747,-0.2439424030974618,-0.0398424460132494,-0.3463506705566073,4.043253667658921
573,Elmarko Jackson,Kansas,0.3255812014854526,0.2265724003570084,-0.23448724895061007,-0.20087408020175263,-0.24566610208447298,-0.30909815410524716,-0.5433130136236319,0.9699972477263464,4.708841548376522
574,Parker Braun,Kansas,-0.8531982626676459,-0.7851948951828451,-0.8466395983054723,-0.6774034245443117,-0.7686814344984403,-0.8303441621675307,-0.35451155076973856,-0.6388724301750414,1.8691031240120286
575,Jamari McDowell,Kansas,-0.8531982626676459,-0.8125399572244628,-0.7701205546361144,-0.8606839415991421,-0.4025707018086632,-0.6348769091441744,-0.7950482974288233,-0.7851333099842585,1.9157717727201422
576,Michael Jankovich,Kansas,-0.7838582941880519,-1.149795722404414,-0.92315864197483,-1.0439644586539725,-0.4025707018086632,-0.8954999131753162,-1.1726512231366102,-1.0776550696026928,1.4267664029883993
577,Patrick Cassidy,Kansas,-0.8531982626676459,-1.3047510739735806,-0.9996776856441878,-0.9706522518320404,-0.6640783680156469,-1.025811415190887,-1.1097174021853125,-1.2239159494119098,1.2318604585787007
578,Wilder Evers,Kansas,-0.8531982626676459,-1.2409459292098062,-0.9741713377544019,-0.8973400450101082,-0.7163799012570436,-1.025811415190887,-0.9838497602827169,-1.2239159494119098,1.3174118607283174
579,Dillon Wilhite,Kansas,-0.8531982626676459,-1.231830908529267,-1.1272094250931175,-0.9706522518320404,-0.9255860342226305,-0.7651884111597452,-1.1726512231366102,-0.7851333099842585,1.3406126177724569
580,Chris Carter,Kansas,-0.8531982626676459,-1.3776712394178945,-1.2037284687624752,-1.0806205620649387,-0.9255860342226305,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.1858715962222333
581,Reyne Smith,College of Charleston,1.0883208547609868,0.8919689100363712,1.168361884987616,-0.6774034245443117,3.3108381583305047,0.5379266089959635,-0.0398424460132494,-0.20008979074739028,10.682344388232377
582,Ante Brzovic,College of Charleston,1.2270007917201748,0.5911732275785772,1.4489317117752611,1.92517991763428,0.22504769708809766,0.8637053640348906,1.7223045406230901,1.2625190073447805,11.645092261460979
583,Ben Burnham,College of Charleston,1.573700634118145,0.5364831034953418,1.2703872765467594,1.1554017460039925,0.9572691624676518,0.472770857988178,0.589495763499729,0.23869284868026105,9.4795423193726
584,Kobe Rodgers,College of Charleston,0.39492116996504667,0.509138041453724,0.5307031877429678,0.935465125538196,-0.24566610208447298,0.8637053640348906,0.7153634054023247,0.9699972477263464,7.872608997247568
585,Frankie Policelli,College of Charleston,1.573700634118145,0.47267795873156726,0.8112730145306131,-0.34749849384561693,2.10790289377838,0.21214785395703625,1.0929663311101117,-0.20008979074739028,8.814964049391362
586,Bryce Butler,College of Charleston,-0.8531982626676459,0.46356293805102794,0.4031714482940381,0.8254968153052978,-0.3502691685672664,0.27730360496482176,0.21189283779194187,0.5312146082986952,6.486579205178318
587,James Scott,College of Charleston,-0.5758383887492697,-0.010418137337011432,-0.5150570757382552,-0.09090576996885426,-0.9255860342226305,-0.11363090108189094,0.02309137493804849,-0.4926115503658244,3.147077456369665
588,Jordan Crawford,College of Charleston,-0.8531982626676459,-0.40236402660019793,-0.13246185739146626,-0.6407473211333456,0.6434599630192714,-0.5045654071286035,-0.7950482974288233,-0.7851333099842585,2.8716195186492945
589,CJ Fulton,College of Charleston,0.8803009493222048,0.7096684964255868,-0.28549994473018186,-0.6774034245443117,0.38195229681228776,-0.7000326601519599,0.08602519588934639,0.23869284868026105,5.240914065972025
590,Khalil London,College of Charleston,-0.8531982626676459,-0.5026292540861294,-0.4385380320688974,-0.7140595279552778,0.12044463060530411,-0.569721158136389,-0.6691806555262277,-0.3463506705566073,2.654815716621767
591,Mayar Wol,College of Charleston,-0.8531982626676459,-0.9948403708352472,-0.6680951630769707,-0.7507156313662439,-0.2979676353258698,-0.8954999131753162,-0.5433130136236319,-0.6388724301750414,1.8830457920986143
592,Spencer Legg,College of Charleston,-0.8531982626676459,-1.3412111566957374,-1.0251840335339737,-0.9339961484210744,-0.7686814344984403,-0.6348769091441744,-1.2355850440879081,-1.2239159494119098,1.434840853455486
593,Evan Kilminster,College of Charleston,-0.8531982626676459,-0.9492652674325511,-0.92315864197483,-0.9339961484210744,-0.5594753015328534,-0.8954999131753162,-0.9838497602827169,-0.3463506705566073,1.7407673927265257
594,Adam Comer,College of Charleston,-0.8531982626676459,-1.3229811153346591,-1.1017030772033314,-0.9339961484210744,-0.9255860342226305,-0.8303441621675307,-1.1726512231366102,-1.2239159494119098,1.180530921323944
595,Jack Miller,College of Charleston,-0.8531982626676459,-1.3412111566957374,-0.8721459461952582,-0.9706522518320404,-0.4025707018086632,-1.025811415190887,-1.1726512231366102,-1.2239159494119098,1.349954450422163
596,Dylan Ritter,College of Charleston,-0.8531982626676459,-1.3320961360151984,-1.1527157729829034,-1.0806205620649387,-0.820982967739837,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.185600813441883
597,Shahada Wells,McNeese State,1.435020697158957,1.5026752956324991,2.2396284963586246,2.4750214687987713,1.0618722289504452,2.231976135198385,1.030032510158814,1.7013016467724318,16.50375039638094
598,Christian Shumate,McNeese State,1.5043606656385509,1.201879613174705,1.0153237976489002,1.7052432971684837,-0.3502691685672664,1.9713531311672432,2.4775103920386643,0.8237363679171292,12.468816104355707
599,DJ Richards,McNeese State,-0.2984785148308936,0.9101989513974499,0.7602603187510412,-0.23753018361271874,1.8986967608127931,0.40761510698039277,-0.10277626696454714,-0.4926115503658244,8.388574973123454
