,Player,Team,GS,MP,FGA,PTS
21,D.J. Jeffries,Mississippi State,0.03823697925667955,0.1003038713702877,0.09527884539100816,3.181388864937011
22,Jimmy Bell,Mississippi State,-0.2232988823366609,-0.27391254356366895,-0.17460683229746954,2.3192521831505943
23,Trey Fort,Mississippi State,-0.22338866929035273,-0.19718472468244547,-0.2268585035966459,2.4305035244454807
24,KeShawn Murphy,Mississippi State,-0.28235506213175204,-0.25483984244350283,-0.25101292888753135,2.141022783529842
25,Shawn Jones,Mississippi State,-0.2715521751277297,-0.27788991514954064,-0.2817197730929728,2.1024365100414903
26,Andrew Taylor,Mississippi State,-0.4041034423428269,-0.4344544835887531,-0.3900550093260313,1.9835370413133426
27,Gai Chol,Mississippi State,-0.7788878543146284,-0.7528016198019205,-0.7706384344748262,0.9193424547807876
28,Jaquan Scott,Mississippi State,-0.9486388869013387,-0.9553963499621034,-0.8970241503482724,0.4878194804425826
29,Adrian Myers,Mississippi State,-0.951971912251351,-0.9870545524066233,-0.9561070028262565,0.4627806047171128
30,Isaac Stansbury,Mississippi State,-1.1687877607901358,-1.1460278071503651,-1.1945059174191521,-0.22374606947777442
31,Jarod Lucas,Nevada,2.1561217316219343,2.174988143297333,2.1630534589041286,8.710301919674851
32,Kenan Blackshear,Nevada,1.7103474165708914,1.6265161902312864,1.6972411003374852,7.418897684125859
33,Nick Davidson,Nevada,1.1018172724389466,1.109816218062809,1.1527791977656596,5.850321224474923
